Rank,Approach,Images,Points,Mean Error (px),Median Error (px),RMSE (px),Std Dev (px),Acc@5px (%),Acc@10px (%),Acc@20px (%)
1,CV Only (Baseline),600,10229,21.07,15.54,37.74,31.84,0.5,10.5,72.7
2,MLP,600,10229,23.93,19.68,36.36,27.89,0.0,2.7,52.3
3,Tuned MLP,600,10229,24.04,19.78,36.26,27.79,0.1,2.3,51.0
4,Linear Regression,600,10229,24.79,20.65,36.7,27.53,0.1,1.0,44.2
5,Ridge Regression,600,10229,24.79,20.65,36.7,27.53,0.1,1.0,44.2
6,Gradient Boosting,600,10229,27.67,16.4,56.71,60.02,0.1,6.3,65.3
7,Random Forest,600,10229,30.26,16.65,70.28,71.88,0.4,8.9,67.0
